person	riksdagid	pob
http://www.wikidata.org/entity/Q19976668	0596495003124	http://www.wikidata.org/entity/Q1754
http://www.wikidata.org/entity/Q21531339	0630820052511	http://www.wikidata.org/entity/Q10430709
http://www.wikidata.org/entity/Q21561352	0841422940412	
http://www.wikidata.org/entity/Q21567755	0196459185206	
http://www.wikidata.org/entity/Q21567830	0480182220803	
http://www.wikidata.org/entity/Q21578741	0450899632600	
http://www.wikidata.org/entity/Q21614462	0200943027702	http://www.wikidata.org/entity/Q10543859
http://www.wikidata.org/entity/Q21733204	0812087943307	http://www.wikidata.org/entity/Q10436974
http://www.wikidata.org/entity/Q21759275	0255522895108	http://www.wikidata.org/entity/Q10727009
http://www.wikidata.org/entity/Q26305112	0980092192122	http://www.wikidata.org/entity/Q3438210
http://www.wikidata.org/entity/Q28125366	0393199907225	
http://www.wikidata.org/entity/Q29784015	0504073787702	
http://www.wikidata.org/entity/Q30035676	0706528359123	http://www.wikidata.org/entity/Q10728339
http://www.wikidata.org/entity/Q47506077	0327372175911	http://www.wikidata.org/entity/Q10571845
http://www.wikidata.org/entity/Q57168719	0616721755222	http://www.wikidata.org/entity/Q10542102
http://www.wikidata.org/entity/Q57168740	0776705932527	http://www.wikidata.org/entity/Q10593398
http://www.wikidata.org/entity/Q57168752	0852475703226	http://www.wikidata.org/entity/Q414
http://www.wikidata.org/entity/Q57168756	0411459873625	http://www.wikidata.org/entity/Q10520534
http://www.wikidata.org/entity/Q57168837	02910042914	http://www.wikidata.org/entity/Q10707795
http://www.wikidata.org/entity/Q62287348	0736867676621	http://www.wikidata.org/entity/Q10593668
http://www.wikidata.org/entity/Q64404514	0603366539729	http://www.wikidata.org/entity/Q10577840
http://www.wikidata.org/entity/Q65130310	0575283695521	http://www.wikidata.org/entity/Q1012455
http://www.wikidata.org/entity/Q96678492	0847676507229	http://www.wikidata.org/entity/Q10552864
http://www.wikidata.org/entity/Q4931118	0384833975200	http://www.wikidata.org/entity/Q1754
